order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,manufacturer,order_year,order_day,order_month,state_code
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,"L, Hernandez",Consumer,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,Imation 8gb,2016,Monday,June,DE
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,"L, Hernandez",Consumer,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,LF,2016,Monday,June,DE
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,"J, Molinari",Corporate,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,Advantus,2016,Sunday,December,NY
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,"J, Molinari",Corporate,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,AT&T,2016,Sunday,December,NY
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,"T, Butterfield",Consumer,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,Home/Office,2016,Friday,June,NY
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,"T, Butterfield",Consumer,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552,Xerox,2016,Friday,June,NY
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,"T, Butterfield",Consumer,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.09800000000001,Novimex,2016,Friday,June,NY
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,"T, Butterfield",Consumer,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,Array,2016,Friday,June,NY
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,"T, Butterfield",Consumer,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,Imation 8gb,2016,Friday,June,NY
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,"T, Butterfield",Consumer,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,Plastic,2016,Friday,June,NY
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,"T, Butterfield",Consumer,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,Prang,2016,Friday,June,NY
CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,"K, Daniels",Consumer,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,Snap-A-Way,2016,Saturday,June,VA
CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,"H, MacAllister",Consumer,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,Avery,2016,Sunday,September,NY
CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,"T, Blumstein",Consumer,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,Telephone,2017,Thursday,September,MI
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,"K, Brennan",Corporate,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,Economy,2017,Saturday,December,TX
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,"K, Brennan",Corporate,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,"6""",2017,Saturday,December,TX
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,"K, Brennan",Corporate,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,SimpliFile,2017,Saturday,December,TX
CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,"S, Carmichael",Corporate,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,1.7,2016,Sunday,June,AL
CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,"S, Carmichael",Corporate,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.0352,Avery,2016,Sunday,June,AL
US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,"C, Schild",Home Office,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,Safco,2017,Monday,November,IL
CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,"P, O'Donnell",Consumer,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156,Novimex,2017,Sunday,May,SC
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,"P, Gonzalez",Consumer,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,Logitech LS21,2017,Thursday,October,MN
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,"P, Gonzalez",Consumer,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568,Avery,2017,Thursday,October,MN
CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,"G, Mitchum",Home Office,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,Eldon,2016,Tuesday,April,TX
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,"J, Sink",Corporate,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633,Turquoise,2016,Saturday,September,CA
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,"J, Sink",Corporate,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,Panasonic,2016,Saturday,September,CA
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,"J, Sink",Corporate,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.1104,Xerox,2016,Saturday,September,CA
US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,"R, Barcio",Home Office,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,Flexible,2017,Monday,November,OR
CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,"P, Norris",Home Office,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,9-3/4,2017,Thursday,November,NY
CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,"K, Ducich",Consumer,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,Trimflex,2017,Saturday,June,CA
CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,"E, Rittenbach",Corporate,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852,Fellowes,2016,Tuesday,September,MN
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,"R, Bensley",Home Office,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,Avery,2016,Monday,August,IL
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,"R, Bensley",Home Office,Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973,SanDisk,2016,Monday,August,IL
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,"R, Bensley",Home Office,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396,Avery,2016,Monday,August,IL
CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,"G, Zandusky",Consumer,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.7208,Universal,2016,Thursday,December,MN
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,"J, Martin",Consumer,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016,Memorex,2017,Thursday,November,NC
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,"J, Martin",Consumer,Charlotte,North Carolina,28205,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994,Speck,2017,Thursday,November,NC
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,"J, Martin",Consumer,Charlotte,North Carolina,28205,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738,Newell,2017,Thursday,November,NC
CA-2017-146780,2017-12-25,2017-12-30,Standard Class,CV-12805,"C, Voltz",Corporate,New York City,New York,10035,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0.0,10.9096,Magnifier,2017,Monday,December,NY
CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,"C, Ludtke",Consumer,Urbandale,Iowa,50322,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0.0,22.788,Hunt,2016,Thursday,November,IA
CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,"C, Ludtke",Consumer,Urbandale,Iowa,50322,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0.0,13.3476,Avery,2016,Thursday,November,IA
CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,"S, Cartwright",Consumer,Wilmington,Delaware,19805,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0.0,18.3456,Artistic,2016,Sunday,June,DE
CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,"S, Cartwright",Consumer,Wilmington,Delaware,19805,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0.0,13.878,DXL,2016,Sunday,June,DE
CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,"S, Cartwright",Consumer,Wilmington,Delaware,19805,East,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6,0.0,63.4368,Companion,2016,Sunday,June,DE
CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,"S, Cartwright",Consumer,Wilmington,Delaware,19805,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0.0,51.759,Globe,2016,Sunday,June,DE
CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,"S, Cartwright",Consumer,Wilmington,Delaware,19805,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0.0,19.7316,KLD,2016,Sunday,June,DE
US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,"T, Staebel",Consumer,Phoenix,Arizona,85023,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308,Avery,2017,Sunday,November,AZ
US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,"T, Staebel",Consumer,Phoenix,Arizona,85023,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499,Trav-L-File,2017,Sunday,November,AZ
US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,"L, Shagiari",Home Office,Los Angeles,California,90004,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602,Global,2016,Sunday,November,CA
US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,"L, Shagiari",Home Office,Los Angeles,California,90004,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0.0,26.2416,Eldon,2016,Sunday,November,CA
US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,"D, Wardle",Corporate,Columbus,Ohio,43229,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994,Anker,2017,Thursday,February,OH
US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,"D, Wardle",Corporate,Columbus,Ohio,43229,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.364,Xerox,2017,Thursday,February,OH
US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,"D, Wardle",Corporate,Columbus,Ohio,43229,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.9732,Staples,2017,Thursday,February,OH
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,"L, Creighton",Consumer,Roseville,California,95661,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04,3,0.0,9.6192,Xerox,2016,Thursday,October,CA
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,"L, Creighton",Consumer,Roseville,California,95661,West,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,35.44,1,0.0,16.6568,Xerox,2016,Thursday,October,CA
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,"L, Creighton",Consumer,Roseville,California,95661,West,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0.0,3.456,Sanford,2016,Thursday,October,CA
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,"L, Creighton",Consumer,Roseville,California,95661,West,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02,2,0.0,1.9698,Ideal,2016,Thursday,October,CA
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,"L, Creighton",Consumer,Roseville,California,95661,West,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,0.2,26.6616,GBC,2016,Thursday,October,CA
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,"L, Creighton",Consumer,Roseville,California,95661,West,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6,0.0,18.4464,Fiskars,2016,Thursday,October,CA
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,"L, Creighton",Consumer,Roseville,California,95661,West,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14,0.0,20.6976,Longer-Life,2016,Thursday,October,CA
CA-2016-110366,2016-09-05,2016-09-07,Second Class,JD-15895,"J, Doherty",Corporate,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35,Howard,2016,Monday,September,PA
CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,"S, Hughsby",Corporate,San Francisco,California,94122,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,8.82,3,0.0,2.3814,Newell,2017,Monday,September,CA
CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,"S, Hughsby",Corporate,San Francisco,California,94122,West,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3,0.0,5.1042,Convenience,2017,Monday,September,CA
CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,"S, Hughsby",Corporate,San Francisco,California,94122,West,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,143.7,3,0.0,68.976,Xerox,2017,Monday,September,CA
CA-2017-155376,2017-12-22,2017-12-27,Standard Class,SG-20080,"S, Glassco",Consumer,Independence,Missouri,64055,Central,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0.0,218.2518,Sanyo,2017,Friday,December,MO
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,"J, Ellison",Corporate,Franklin,Wisconsin,53132,Central,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,0.0,103.8015,Plantronics,2016,Monday,December,WI
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,"J, Ellison",Corporate,Franklin,Wisconsin,53132,Central,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3,0.0,5.99879999999998,Anker,2016,Monday,December,WI
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,"J, Ellison",Corporate,Franklin,Wisconsin,53132,Central,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0.0,585.552,Hon,2016,Monday,December,WI
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,"J, Ellison",Corporate,Franklin,Wisconsin,53132,Central,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5,0.0,80.6285,GBC,2016,Monday,December,WI
CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,"T, Willingham",Home Office,Scottsdale,Arizona,85254,West,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.766,Belkin,2016,Sunday,March,AZ
CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,"T, Willingham",Home Office,Scottsdale,Arizona,85254,West,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,0.2,15.2388,Jabra,2016,Sunday,March,AZ
CA-2016-114104,2016-11-20,2016-11-24,Standard Class,NP-18670,"N, Paige",Consumer,Edmond,Oklahoma,73034,Central,OFF-LA-10002475,Office Supplies,Labels,Avery 519,14.62,2,0.0,6.8714,Avery,2016,Sunday,November,OK
CA-2016-114104,2016-11-20,2016-11-24,Standard Class,NP-18670,"N, Paige",Consumer,Edmond,Oklahoma,73034,Central,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,944.93,7,0.0,236.2325,Avaya,2016,Sunday,November,OK
CA-2016-162733,2016-05-11,2016-05-12,First Class,TT-21070,"T, Trevino",Consumer,Los Angeles,California,90045,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1,0.0,2.691,Xerox,2016,Wednesday,May,CA
CA-2016-154508,2016-11-16,2016-11-20,Standard Class,RD-19900,"R, Dartt",Consumer,Carlsbad,New Mexico,88220,West,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,28.4,5,0.0,13.348,Staple,2016,Wednesday,November,NM
CA-2016-113817,2016-11-07,2016-11-11,Standard Class,MJ-17740,"M, Jones",Consumer,Seattle,Washington,98115,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688,Wilson,2016,Monday,November,WA
US-2017-152366,2017-04-21,2017-04-25,Second Class,SJ-20500,"S, Jackson",Consumer,Houston,Texas,77036,Central,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,4,0.8,-243.16,Acco,2017,Friday,April,TX
CA-2016-105018,2016-11-28,2016-12-02,Standard Class,SK-19990,"S, Knutson",Consumer,Fairfield,Connecticut,6824,East,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,7.16,2,0.0,3.4368,Avery,2016,Monday,November,CT
CA-2016-157000,2016-07-16,2016-07-22,Standard Class,AM-10360,"A, McCarthy",Corporate,Grand Prairie,Texas,75051,Central,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224,3,0.2,3.7224,Personal,2016,Saturday,July,TX
CA-2016-157000,2016-07-16,2016-07-22,Standard Class,AM-10360,"A, McCarthy",Corporate,Grand Prairie,Texas,75051,Central,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3,0.2,6.255,Southworth,2016,Saturday,July,TX
CA-2017-107720,2017-11-06,2017-11-13,Standard Class,VM-21685,"V, Mitchum",Home Office,Westfield,New Jersey,7090,East,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26,3,0.0,12.0276,Decoflex,2017,Monday,November,NJ
US-2017-124303,2017-07-06,2017-07-13,Standard Class,FH-14365,"F, Hopkins",Corporate,Philadelphia,Pennsylvania,19120,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,2,0.7,-2.2586,Pressboard,2017,Thursday,July,PA
